Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
11,4,1.06,98210,22590,2802,1268.4,64900,173.8,17.62,664,2.28,30.34,27.04,12.07,4.6,9.81,3.67,0.758,1.079
11,5,1.19,96980,22260,2727,1287.4,64530,172.2,18.1,673,2.35,32.22,28.94,13.05,4.8,10.06,3.77,0.695,1.128
12,1,1.02,97090,22800,2833,1251.9,64780,175.4,17.82,680,2.11,31.65,27.82,12.27,4.81,10.01,3.77,0.758,1.106
12,2,1.06,97350,22730,2828,1259.5,65460,183.8,18.01,676,2.21,32.03,27.22,12.49,4.66,9.95,3.77,0.762,1.068
12,3,0.96,99020,22820,2834,1265.2,65000,175.5,18.2,683,2.2,31.97,28.4,12.68,4.43,9.76,3.61,0.776,1.091
12,4,1.21,96670,22300,2773,1284.3,65220,173.8,18.18,675,2.18,32.63,28.87,12.69,4.69,10.34,3.64,0.716,1.106
12,5,1.13,98360,22560,2788,1283.5,64880,183.8,17.98,696,2.26,31.77,28.38,12.16,4.61,10.2,3.83,0.871,1.147
13,1,1,97250,22920,2867,1248.4,66170,176.8,17.78,680,2.15,32.46,28.3,12.84,4.66,9.71,3.93,0.786,1.067
13,2,0.88,96640,22800,2869,1257.5,67090,176,18.2,695,2.2,32.91,29.28,13.32,4.64,10.04,3.69,0.749,1.095
13,3,1.04,95670,22380,2821,1275.1,66330,189,18.47,679,2.12,32.93,28.2,12.62,4.89,10.39,3.91,0.821,1.146
13,4,0.86,100540,23250,2882,1262.7,65600,167.3,17.41,671,2.21,31.61,27.5,12.04,4.46,9.71,3.84,0.727,1.042
13,5,0.88,96910,22520,2830,1285.5,66150,178.5,18,679,2.24,32.72,28.8,13.09,4.76,10.31,3.75,0.743,1.112
14,1,0.79,96710,22920,2881,1246.4,65850,185.1,17.33,679,2.29,32.67,28.99,13.08,4.83,9.93,3.82,0.706,1.079
14,2,1.02,94820,22570,2846,1272.5,67060,184,18.14,675,2.01,33.48,29.6,13.59,4.94,10.85,4.25,0.781,1.094
14,3,1.01,97510,22800,2852,1263.1,65740,190,17.1,652,2.14,32.51,28.2,12.72,4.66,10.1,3.93,0.759,1.105
14,4,0.91,98070,22760,2825,1256.6,65380,177.5,17.62,654,2,32.29,28.72,12.78,4.54,9.97,3.83,0.732,1.09
14,5,0.98,97910,22890,2841,1263.9,65230,170.7,17.51,661,2.13,31.78,27.55,12.98,4.56,9.97,3.83,0.757,1.073
14,6,0.88,97960,22820,2842,1259.4,65290,176.8,17.76,645,2.13,31.81,28.2,12.29,4.72,9.97,3.51,0.772,1.058
14,7,1,94320,22060,2790,1294.3,66520,180.1,18.35,683,2.25,33.57,29.3,13.28,4.85,10.51,3.94,0.859,1.216
14,8,0.9,97520,22730,2834,1280,65750,181,17.97,654,2.3,32.28,27.79,12.45,4.82,10.3,3.93,0.721,1.133
14,9,0.81,100230,23130,2848,1267.3,63990,175,17.62,655,2.14,31.49,27.13,12.63,4.42,9.74,3.78,0.759,1.119
14,10,0.94,96450,22460,2812,1272.1,65740,179.8,17.75,681,2.13,31.93,27.5,13.03,4.66,9.99,3.77,0.769,1.192
14,11,0.93,96320,22560,2801,1277,65850,184,17.98,667,2.1,32.46,27.73,13.11,4.73,10.27,3.43,0.797,1.136
14,12,0.93,98680,22850,2832,1271,64230,178.7,17.82,690,2.12,31.65,27.91,12.38,4.48,10,3.61,0.762,1.103
14,13,0.9,98460,22940,2839,1261.5,65020,175.2,17.57,669,2.18,31.57,27.7,12.49,4.53,9.87,3.7,0.684,1.052
14,14,0.93,96940,22460,2805,1266,65260,180,17.95,675,2.07,31.79,27.57,12.06,4.39,10.03,3.96,0.745,1.127
14,15,0.94,99850,22800,2832,1272.8,64150,184.7,18.06,657,2.29,31.53,27.08,11.89,4.34,9.86,3.5,0.704,1.09
14,16,1.15,99600,22950,2821,1269.3,64410,180.1,17.53,668,2.16,31.29,26.65,12.5,4.52,9.92,3.6,0.715,1.072
14,17,1.13,100470,23020,2842,1271.9,63930,180.6,17.32,670,2.18,31.17,27.39,11.95,4.35,9.86,3.75,0.729,1.075
14,18,1.06,99470,22920,2838,1277.3,64910,174.7,17.79,679,2.15,32.14,27.5,12.76,4.73,10.02,3.87,0.733,1.071
14,19,0.99,99150,22790,2805,1278.1,64990,177.6,18.08,690,2.07,31.37,26.7,12.16,4.56,10.11,3.83,0.741,1.159
14,20,1.03,97570,22450,2784,1296,64860,179.1,18.12,667,2.1,32.06,26.8,12.5,4.73,10.29,3.88,0.748,1.179
15,1,0.9,98160,22970,2847,1253.8,64660,170.2,17.87,664,2.2,31.82,28,11.74,4.61,9.91,3.46,0.754,1.139
15,2,0.76,99680,23300,2847,1258.6,64340,175.6,17.88,663,2.04,31.44,26.13,12.13,4.46,9.77,3.63,0.713,1.064
15,3,1.04,100670,23310,2821,1265.9,63680,173.6,17.74,661,1.98,31.13,26.15,12.05,4.32,9.9,3.62,0.651,1.05
15,4,0.96,100310,23300,2825,1275.1,64380,179.8,18.08,673,2.18,31.04,26.79,12.05,4.38,10.05,3.76,0.736,1.086
15,5,0.83,98140,22710,2808,1279.8,64480,181,17.56,669,2.25,31.98,26.93,12.55,4.67,10,3.64,0.742,1.132
16,1,1.58,101580,22770,2680,1300.5,62190,168,18.21,671,2.34,30.42,25.41,12.18,4.14,9.61,3.34,0.627,1.119
16,2,1.75,104380,23260,2712,1291,61070,171,17.32,644,2.08,28.95,24.9,11.06,3.95,9.64,3.55,0.626,1.064
16,3,1.45,103400,22960,2711,1310,61980,168.3,18.12,663,2.21,29.66,25.8,11.9,4.09,9.97,3.66,0.646,1.116
16,4,1.52,103230,22770,2679,1322.2,63020,169.5,18.12,675,2.19,30.59,25.33,11.46,4.22,9.88,3.67,0.707,1.13
16,5,1.59,101460,22610,2685,1320,63450,181,17.43,691,2.23,30.66,25.01,13,4.41,10.12,3.26,0.734,1.182
17,1,1.69,103200,23070,2681,1296.7,61770,165.8,17.27,678,2.11,30.07,25.49,10.79,4.13,9.83,3.32,0.613,1.105
17,2,1.42,102710,22960,2698,1319,62740,175,18.05,668,2.32,30.76,25.6,12.39,4.13,10.03,3.59,0.683,1.188
17,3,1.76,101110,22390,2626,1339.6,62500,168.9,18.11,666,2.37,30.78,25.7,11.87,4.26,10.46,3.49,0.749,1.205
17,4,1.37,104640,23330,2705,1309.7,61280,171.7,17.92,674,2.14,29.38,24.74,10.53,4.04,9.48,3.45,0.659,1.069
17,5,1.4,100550,22650,2687,1323.8,62970,177,18.05,671,2.22,31.12,26.7,12.69,4.35,10.17,3.62,0.725,1.149
18,1,1.52,99360,22690,2699,1301.7,63670,178,17.6,666,2.12,31.28,26.05,11.64,4.07,10.22,3.45,0.674,1.138
18,2,1.35,102010,23100,2729,1302.5,63370,180.2,17.44,689,2.05,30.34,26.2,12.22,4.19,9.8,3.7,0.703,1.131
18,3,1.31,102370,23160,2748,1299.6,64020,170.7,17.74,679,2.12,30.61,25.68,11.95,4.3,9.88,3.68,0.672,1.139
18,4,1.43,100620,22710,2714,1327,63630,175.2,17.96,669,2.33,31.85,26.08,11.8,4.31,10.19,3.86,0.643,1.175
18,5,1.54,102750,23140,2740,1306.7,63020,176.2,17.39,668,2.24,30.13,26.44,12.69,4.19,9.9,3.72,0.727,1.099
19,1,2.09,100780,22470,2591,1341.4,62560,181,18.12,671,2.19,30.33,26.18,11.97,4.14,10.36,3.71,0.598,1.239
19,2,2.08,102360,22700,2614,1320.7,62110,168.2,17.64,674,2.23,30.29,25.08,11.7,4.19,9.7,3.59,0.636,1.156
19,3,1.81,101110,22460,2606,1344.2,63120,174.3,17.61,669,2.27,30.74,25.12,12.6,4.12,10.22,3.44,0.729,1.243
19,4,1.88,102660,22600,2619,1332.3,62000,169.7,17.5,665,2.27,30.5,24.96,12.06,4.31,10.11,3.49,0.633,1.168
19,5,1.98,103740,22800,2643,1338.6,62300,173.3,18.06,695,2.12,31.09,25.35,11.62,4.05,10.03,3.43,0.653,1.195
20,1,1.82,102220,22710,2676,1313.2,62530,164.5,18.3,650,2.27,30.13,24.3,11.81,4.14,10.17,3.3,0.674,1.08
20,2,1.62,104010,23200,2688,1306.2,62320,169.2,17.43,677,2.19,29.33,25.12,12.23,4.1,10,3.31,0.656,1.097
20,3,1.53,103350,22910,2673,1318.6,62460,172.1,18.01,683,2.26,29.99,24.56,11.87,4.16,9.96,3.35,0.64,1.121
20,4,1.57,103910,22840,2641,1338,62130,169.3,17.7,676,2.27,30.2,24.6,11.86,4.16,9.98,3.65,0.645,1.131
20,5,1.91,104490,22830,2645,1351,62130,170.2,18.25,701,2.2,30.55,26.09,12.25,4.12,10.2,3.61,0.613,1.219
21,1,1.63,101620,22670,2658,1316.9,61560,169.1,17.73,671,2.2,30.3,24.85,11.19,4.26,9.96,3.47,0.712,1.131
21,2,1.92,105240,23340,2688,1318.4,61240,163.3,17.33,667,2.26,29.12,25.02,11.26,3.93,9.73,3.39,0.591,1.064
21,3,1.65,104590,23060,2663,1335.9,61960,173.6,17.33,679,2.2,29.44,24.82,11.27,3.85,9.95,3.71,0.727,1.117
21,4,1.92,104380,22710,2640,1351,61890,180.9,17.55,675,2.23,29.79,24.5,11.09,4.03,9.93,3.67,0.646,1.181
21,5,1.87,104600,22840,2651,1339,61860,167.7,17.71,689,2.28,29.99,25.44,12.01,4.1,9.83,3.49,0.669,1.146
22,1,1.94,104720,23190,2665,1329.3,61920,169,17.91,679,2.17,30.18,25.44,11.32,4.1,9.76,3.18,0.648,1.139
22,2,1.86,101700,22480,2623,1348.7,62720,170,17.7,690,2.22,30.5,25.76,12.96,4.13,10.23,3.59,0.684,1.221
22,3,1.93,104940,22840,2647,1357,62390,174,17.74,671,2.19,29.44,25.6,11.59,4.12,10.04,3.32,0.7,1.172
22,4,2.08,105200,22890,2635,1351,61940,169.3,17.72,663,2.18,29.96,24.5,11.53,4.11,9.63,3.57,0.699,1.129
22,5,2.06,106700,23090,2650,1347,61020,168.9,16.95,659,2.25,29.22,24.48,11.24,4.01,9.63,3.5,0.663,1.096
