Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
12,4,1.24,98400,22890,2864,1286.7,66140,185,17.67,662,2.09,31.89,28.5,12.57,4.73,10.4,3.9,0.745,1.123
12,5,1.28,96080,22440,2816,1278.3,65530,170.6,18.19,664,2.04,32.26,27.82,13.07,4.74,10.56,4.21,0.692,1.172
13,1,0.95,96360,22950,2883,1259,66120,178,18.06,658,2.13,31.68,28.38,13.04,4.57,10.36,3.9,0.785,1.129
13,2,1.11,95590,22830,2879,1262,66170,174,17.48,709,1.9,32.1,29.1,12.52,4.66,10.19,4.09,0.772,1.099
13,3,0.9,97660,23050,2894,1252.3,65810,177,18.18,682,2.2,31.59,28.6,13.52,4.54,10.29,3.74,0.775,1.061
13,4,1,96150,22890,2894,1275.4,66720,182.7,18.49,654,2.19,32.55,28.5,13.17,4.71,10.71,3.78,0.8,1.166
13,5,1.07,96300,22780,2873,1271,67350,186,18.23,678,2.1,33.3,28.4,13.08,4.87,10.39,3.63,0.878,1.157
14,1,0.96,97740,23250,2897,1247,65500,174.3,17.52,697,2.02,31.86,26.9,12.28,4.63,10.03,3.92,0.736,1.089
14,2,0.9,99200,23600,2927,1233,65670,172.9,17.84,672,2.05,31.11,28.7,13.34,4.57,10.17,3.42,0.767,1.027
14,3,0.96,95260,22810,2903,1275.4,67610,187,18.8,697,2.2,33.48,30.2,13.31,4.74,10.88,4.05,0.826,1.174
14,4,0.91,99680,23530,2912,1260,66750,181,18.57,669,2.28,32.08,28.5,12.57,4.65,10.13,3.6,0.719,1.055
14,5,0.9,99860,23240,2918,1255.8,65460,172.5,17.89,668,2.17,32.5,27.6,12.32,4.55,10.05,3.86,0.715,1.087
14,6,0.86,99200,23430,2927,1252,65770,171.3,18.12,665,2.25,31.77,27.6,13.35,4.59,10.14,3.9,0.77,1.044
14,7,1.01,98930,23190,2890,1273,65950,177.1,18.06,672,2.17,32.42,27.8,12.09,4.65,10.34,3.91,0.801,1.098
14,8,0.82,99940,23360,2899,1249.7,65150,176.6,17.75,656,2.18,31.9,28.7,12.83,4.42,10.27,4.08,0.744,1.105
