Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
24,8,2.22,104420,24490,1721,735.4,70570,119.7,127.9,583,1.113,31.47,32.19,13.66,2.76,4.89,2.36,0.642,1.044
24,9,2.11,105000,24620,1729,730.4,70040,114.8,126.9,594,0.989,32.02,31.43,14.2,2.65,4.72,2.31,0.758,1.056
24,10,2.01,104070,24560,1725,732.2,70210,118,128.8,590,1.019,31.84,32.22,13.26,2.66,4.77,2.47,0.704,1.113
24,11,2,104500,24550,1727,735,70660,119.6,129,583,1.028,31.57,31.5,13.13,2.71,4.79,2.21,0.673,1.076
24,12,2.08,105470,24730,1744,730,70350,120.9,127.5,598,1.111,31.88,31.34,13.57,2.78,4.78,2.27,0.685,1.119
24,13,1.93,103950,24680,1746,729.4,70230,127.7,126.4,589,1.128,31.43,30.96,13.77,2.82,4.67,2.75,0.728,1.032
24,14,1.83,105190,24850,1731,719.4,69150,118.9,127.2,580,1.105,31.44,31.88,13.43,2.73,4.72,2.59,0.7,1.045
24,15,2.43,105840,24730,1730,738.4,70580,117.7,127.3,609,1.1,32,30.1,13.58,2.76,4.75,2.39,0.77,1.1
24,16,1.94,104720,24650,1748,735.4,70160,123.5,126.1,554,1.054,31.9,31.51,13.13,2.7,4.81,2.49,0.712,1.102
24,17,2.24,105980,24820,1741,724.1,69450,120.7,126.6,583,1.17,32.05,31.52,13.77,2.6,4.81,2.46,0.792,0.984
24,18,2.22,104140,24620,1747,732.8,70120,120.6,126.2,566,1.065,31.35,32.67,13.13,2.83,4.76,2.38,0.86,1.158
24,19,2.2,104830,24670,1739,724.1,69930,123,125.4,568,1.092,31.35,32.29,13.68,2.66,4.86,2.16,0.737,1.009
24,20,1.92,105130,24830,1739,728.6,69860,116.6,127.2,556,1.079,31.22,32.6,13.29,2.66,4.8,2.22,0.77,1.039
