Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
14,7,1.08,98020,23660,2884,1184.5,67660,189.1,18.36,664,2.08,33.68,42.38,11.56,4.53,10.24,3.9,1.117,1.042
14,8,1.14,98340,23450,2855,1187,66620,176.7,18.49,662,1.97,32.95,44.1,11.59,4.6,9.97,3.94,1.19,1.05
14,9,1.5,99080,23390,2811,1197.4,66150,174.8,18.05,676,2.01,32.74,43.86,11.72,4.3,9.94,3.93,1.104,0.996
14,10,1.14,99120,23510,2824,1191.7,66490,179.4,18.08,669,2.06,32.34,44,11.53,4.39,9.92,3.82,1.106,1.082
14,11,1.34,98550,23760,2903,1174.2,67140,179.7,18.57,669,2.1,33.51,44.2,11.35,4.5,9.96,3.97,1.202,1.058
14,12,1.27,99090,23520,2856,1194,66840,172.3,18.37,677,2,33.26,43.55,12.09,4.59,9.96,3.86,1.203,1.029
14,13,1.57,99320,23620,2857,1186,66660,174.9,18.19,678,2.04,32.68,44.6,11.18,4.42,9.93,3.67,1.16,1.073
14,14,1.34,98640,23370,2818,1191.5,66290,177.8,18.38,671,2,32.95,42.61,11.58,4.41,9.98,3.61,1.099,1.033
14,15,1.29,99350,23600,2820,1197.8,66450,175.3,18.35,662,1.97,32.77,41.49,11.57,4.38,9.91,3.73,1.03,1.052
14,16,1.59,99540,23310,2737,1197.5,64320,173.8,18.48,661,2.1,31.76,43.07,11.33,4.24,9.84,3.71,1.091,1.077
14,17,1.35,99030,23170,2751,1194.8,64440,177.2,18.48,645,1.97,31.55,42.54,11.42,4.25,9.68,3.69,1.17,1.072
14,18,1.61,100180,23350,2746,1207,64710,174.9,18.34,650,2.1,31.44,43.57,11.35,4.11,9.72,3.66,1.096,1.079
14,19,1.78,100550,23170,2726,1209.4,63960,170.5,18.14,657,2.06,30.96,42.64,11.15,4.29,9.54,3.78,1.134,1.084
14,20,1.62,99860,22980,2691,1206.4,63720,172.7,18.38,663,2,30.79,40.74,10.67,4.04,9.63,3.49,1.068,1.108
15,1,1.28,97840,23460,2852,1171,66480,183.3,18.34,670,1.9,32.74,42.4,11.5,4.46,9.72,3.77,1.11,1.027
15,2,1.33,98180,23660,2849,1184.8,66370,183,18.24,649,2.03,32.77,44.1,12.03,4.51,9.96,3.76,1.243,1.025
15,3,1.35,99430,23360,2804,1195.5,65410,182.5,18.75,653,2.05,32.21,43.17,11.33,4.38,9.77,3.59,1.054,1.068
15,4,1.42,99050,23420,2813,1191.3,65760,177.5,18.41,660,2.03,32.4,43.8,11.61,4.37,9.74,3.72,1.146,1.044
15,5,1.56,99940,23280,2766,1196.5,65070,177.3,18.36,677,2.05,32.33,41.64,11.2,4.45,9.82,3.91,1.102,1.058
16,1,1.41,100060,23060,2704,1197.7,64260,175.2,17.89,653,2.05,31.05,41.07,11.27,4.26,9.84,3.74,1.04,1.142
16,2,1.63,100080,22940,2690,1201.6,63000,168.2,18.25,647,1.93,30.91,40.13,10.85,4.2,9.63,3.32,1.009,1.118
16,3,1.62,99970,22860,2681,1200.1,62830,166.5,17.7,651,1.99,31.24,41.24,10.34,4.25,9.38,3.4,0.998,1.088
16,4,1.75,100800,23000,2659,1203,62810,175.2,17.91,659,2.15,31.07,39.46,11.05,4.14,9.7,3.48,0.993,1.032
